id,category,question,turns_json,selected_papers,target_scope,expected_papers,reference_answer,required_points,expected_support_sections,should_clarify,should_refuse,notes
Q25,evidence_lookup,"Find the papers that explicitly discuss LLM-generated policies or rules.","[""Find the papers that explicitly discuss LLM-generated policies or rules.""]","",all,"Progent|AgentSpec","Progent and AgentSpec explicitly discuss LLM-generated policies or rules in addition to their main control mechanisms.","Progent discusses LLM-generated policies|AgentSpec discusses LLM-generated rules|do not overclaim papers that only learn from traces","abstract;summary|evaluation;results|discussion;conclusion|policy generation;rule generation",0,0,""
Q26,evidence_lookup,"Does AgentGuardian claim provable security guarantees?","[""Does AgentGuardian claim provable security guarantees?""]","",single,"AgentGuardian","No clear claim of provable security guarantees is supported here. AgentGuardian claims effective detection and governance of malicious or misleading behavior while preserving normal functionality, but that is not the same as a formal proof.","no explicit claim of provable security guarantees|claims effective detection or governance instead|avoid overclaiming","abstract;summary|evaluation;experiments;results|discussion;limitations;conclusion",0,0,"This row rewards caution instead of confident overclaiming."
Q27,evidence_lookup,"Which paper explicitly uses program dependence graphs, and for what purpose?","[""Which paper explicitly uses program dependence graphs, and for what purpose?""]","",single,"AgentArmor","AgentArmor explicitly uses program dependence graphs to represent agent runtime traces so it can annotate security properties and inspect the graph before unsafe operations execute.","AgentArmor|program dependence graphs or PDGs|represent runtime traces|security annotation and inspection before unsafe execution","abstract;summary|introduction;overview|program dependence graph;pdg;graph abstraction|graph annotator;graph inspector",0,0,""
Q28,evidence_lookup,"Which paper most explicitly argues that judging an action's safety depends on surrounding context?","[""Which paper most explicitly argues that judging an action's safety depends on surrounding context?""]","",single,"Conseca","Conseca most explicitly makes that argument. Its core premise is that action safety cannot be judged correctly without the surrounding context and purpose.","Conseca|safety depends on context|purpose or surrounding context matters","abstract;summary|introduction;overview|design;contextual security;trusted context",0,0,""
Q29,evidence_lookup,"Which paper says it can monitor benign traces during a staging phase and derive adaptive policies from them?","[""Which paper says it can monitor benign traces during a staging phase and derive adaptive policies from them?""]","",single,"AgentGuardian","AgentGuardian says it monitors traces during a controlled staging phase, learns legitimate behavior and input patterns, and derives adaptive access-control policies from them.","AgentGuardian|controlled staging phase|learns legitimate behavior or input patterns|derives adaptive policies","abstract;summary|introduction;overview|architecture;policy generation;staging phase",0,0,""
Q30,followup,"What exactly is learned during the staging phase?","[""Summarize AgentGuardian."",""What exactly is learned during the staging phase?""]","",single,"AgentGuardian","During staging, AgentGuardian observes execution traces to learn legitimate agent behaviors and input patterns, then derives adaptive policies from that behavior.","inherit AgentGuardian from the previous turn|execution traces or legitimate behaviors|input patterns|adaptive policies","abstract;summary|introduction;overview|architecture;policy generation;staging phase",0,0,""
Q31,followup,"Which one relies on a session-level state machine?","[""Compare Progent and MCP-Secure."",""Which one relies on a session-level state machine?""]","",multi,"Progent|MCP-Secure","MCP-Secure is the one that relies on a session-level state machine to track permissions across runtime interactions.","inherit the Progent versus MCP-Secure comparison scope|MCP-Secure|session-level state machine","abstract;summary|introduction;overview|security state machine;state machine;design",0,0,""
Q32,followup,"What domains does it evaluate?","[""Give me a quick overview of the third paper in the list."",""What domains does it evaluate?""]","1 Progent|2 MCP-Secure|3 AgentSpec|4 Conseca|5 AgentGuardian|6 AgentArmor|7 ACE",single,"AgentSpec","The third paper is AgentSpec, and it evaluates code execution, embodied agents, and autonomous driving.","resolve third to AgentSpec|code execution|embodied agents|autonomous driving","abstract;summary|evaluation;experiments;results|introduction;overview",0,0,"Uses visible-order hints."
Q33,followup,"How does it keep execution aligned with the trusted plan?","[""Explain ACE briefly."",""How does it keep execution aligned with the trusted plan?""]","",single,"ACE","ACE first creates a trusted abstract plan, maps it to a concrete plan, and then enforces execution with data and capability barriers so runtime behavior stays consistent with that trusted plan.","inherit ACE from the previous turn|trusted abstract plan|mapping to a concrete plan|data and capability barriers|execution stays aligned with the trusted plan","abstract;summary|system architecture;design principles|execution;barriers;secure information flow",0,0,""
Q34,followup,"What does it enforce during execution?","[""Which paper explicitly verifies secure information-flow constraints?"",""What does it enforce during execution?""]","",single,"ACE","ACE enforces data and capability barriers between apps during execution and keeps execution aligned with the trusted abstract plan.","inherit ACE from the previous turn|data barriers|capability barriers|trusted abstract plan alignment","abstract;summary|system architecture;design principles|execution;barriers;secure information flow",0,0,"Tests referent carryover after an evidence question."
Q35,followup,"Which two feel most similar in security goal?","[""Compare all seven papers in one concise pass."",""Which two feel most similar in security goal?""]","",all,"Progent|MCP-Secure","A strong answer can reasonably pick Progent and MCP-Secure because both focus on runtime least-privilege control of agent tool use, even though their enforcement mechanisms differ.","reuse the prior all-paper comparison|pick a plausible pair|justify shared runtime least-privilege or tool-governance goal","abstract;summary|introduction;overview|design;framework;architecture",0,0,""
Q36,followup,"Focus on goal, method, and limitation.","[""Compare Progent and MCP-Secure."",""Focus on goal, method, and limitation.""]","",multi,"Progent|MCP-Secure","A good answer should preserve the Progent and MCP-Secure scope and compare them by goal, method, and limitations or tradeoffs rather than switching to another paper.","preserve the Progent and MCP-Secure scope|compare by goal|compare by method|compare by limitation or tradeoff|do not drift to another paper","abstract;summary|introduction;overview|design;policy controls|evaluation;results;discussion",0,0,"Targets the follow-up scope bug."
Q37,ambiguity,"Summarize the paper.","[""Summarize the paper.""]","",ambiguous,"","The assistant should ask which paper the user means instead of guessing.","ask which paper the user means","","1",0,""
Q38,ambiguity,"Compare the policy papers.","[""Compare the policy papers.""]","",ambiguous,"","The assistant should ask which papers the user wants compared because several papers in the set are policy-oriented.","ask which papers to compare|do not guess a subset","","1",0,""
Q39,ambiguity,"Which paper had the best results?","[""Which paper had the best results?""]","",ambiguous,"","The assistant should ask which metric or which papers the user wants to compare before answering.","ask which metric or papers are being compared|do not guess what best means","","1",0,""
Q40,ambiguity,"Tell me more about the runtime enforcement approach.","[""Tell me more about the runtime enforcement approach.""]","",ambiguous,"","The assistant should clarify which paper or paper subset the user means because multiple papers fit that description.","ask which paper or papers the user means","","1",0,""
Q41,ambiguity,"Which one is better?","[""Which one is better?""]","",ambiguous,"","The assistant should clarify what objects and what comparison criterion the user means before answering.","ask what is being compared|ask by what criterion if needed","","1",0,""
Q42,refusal,"Who won the FIFA World Cup in 2018?","[""Who won the FIFA World Cup in 2018?""]","",none,"","The assistant should refuse because the request is outside the LitSpace paper set and unsupported by the project sources.","state the request is outside the project sources|refuse to answer from this evaluation setup","","0",1,""
Q43,refusal,"What is the weather in Tokyo today?","[""What is the weather in Tokyo today?""]","",none,"","The assistant should refuse because the request is outside the LitSpace paper set and unsupported by the project sources.","state the request is outside the project sources|refuse to answer from this evaluation setup","","0",1,""
Q44,refusal,"Explain RSA encryption with a simple example.","[""Explain RSA encryption with a simple example.""]","",none,"","The assistant should refuse because the request is outside the LitSpace paper set and unsupported by the project sources.","state the request is outside the project sources|refuse to answer from this evaluation setup","","0",1,""
Q45,refusal,"What is NVIDIA's stock price today?","[""What is NVIDIA's stock price today?""]","",none,"","The assistant should refuse because the request is outside the LitSpace paper set and unsupported by the project sources.","state the request is outside the project sources|refuse to answer from this evaluation setup","","0",1,""
